year,Electricity access (%),Clean cooking fuels (%)
2000,73.12129176705882,58.06310975609756
2001,73.64649957705883,58.62865853658537
2002,73.99243717134503,59.19268292682927
2003,74.56480078538011,59.77987804878049
2004,75.1479655385965,60.332317073170735
2005,75.56081601520468,60.90274390243902
2006,76.49222845555556,61.47408536585366
2007,76.9137928678161,62.05210843373494
2008,77.44069590977011,62.60331325301205
2009,77.80496805977012,63.123493975903614
2010,78.53495358850574,63.64246987951807
2011,79.40394607471264,64.15451807228915
2012,80.27541079885057,64.62198795180723
2013,80.31820591828571,64.68982035928144
2014,81.048828764,65.15179640718563
2015,81.68352206285715,65.5631736526946
2016,82.77789023257142,66.00508982035929
2017,83.56211616,66.39670658682634
2018,84.32894910628572,66.79520958083832
2019,84.76053396571429,67.187125748503
2020,85.46007794457142,67.56616766467066
